shrid2,viirs_annual_min,viirs_annual_max,viirs_annual_mean,viirs_annual_sum,viirs_annual_num_cells,category,year
11-01-019-00072-004814,0.0,0.6669943928718567,0.0579984285178376,0.2325287886638349,4.00922567397356,median-masked,2022
11-01-019-00072-004815,0.0,1.16016948223114,0.7200278069254038,7.067494074711407,9.815584907602895,median-masked,2022
11-01-019-00072-004816,0.0,1.2683666944503784,0.6503716255230664,6.561245717454828,10.08845629170537,median-masked,2022
11-01-019-00072-004817,0.0,1.094006896018982,0.3883413020164647,7.57471786099677,19.50531097687781,median-masked,2022
11-01-019-00072-004818,0.0,1.2683666944503784,0.3245505844555583,11.326111215497148,34.89783028583042,median-masked,2022
11-01-019-00072-004819,0.0,0.882469892501831,0.2408472976593187,13.193185448103984,54.778216639017046,median-masked,2022
11-01-019-00072-004820,0.0,1.026887059211731,0.2097891872589438,3.6532974109698846,17.41413586993214,median-masked,2022
11-01-019-00072-004821,0.0,0.7651298642158508,0.1340286069103914,5.151453615109013,38.43547831958858,median-masked,2022
11-01-019-00072-004822,0.0,0.7821155786514282,0.0657650971987526,0.7778061995564699,11.82703641729313,median-masked,2022
11-01-019-00072-004823,0.0,0.9144625663757324,0.3173078763641526,10.78802809563022,33.99861427722499,median-masked,2022
11-01-019-00072-004824,0.0,0.8550998568534851,0.1941328678082397,6.620021826707493,34.100468928561895,median-masked,2022
11-01-019-00072-004825,0.0,0.7871598601341248,0.297645149397939,3.666117749284748,12.317075405731885,median-masked,2022
11-01-019-00072-004826,0.0,0.6290485262870789,0.0007251747812012,0.0185812946751634,25.623194789513946,median-masked,2022
11-01-019-00072-004827,0.0,0.7008928060531616,0.1164955867520924,1.548231343156552,13.29004287905991,median-masked,2022
11-01-019-00072-004828,0.0,0.7093885540962219,0.201432519127161,3.269190022095157,16.229703308388707,median-masked,2022
11-01-019-00072-004829,0.0,0.8154839873313904,0.1892890607660444,5.407442059055079,28.567113372380845,median-masked,2022
11-01-019-00072-004830,0.0,0.0,0.0,0.0,13.49015375127783,median-masked,2022
11-01-019-00072-004831,0.0,1.045051336288452,0.1450247925910867,15.694133404651634,108.21689949871508,median-masked,2022
11-01-019-00072-004832,0.0,0.7939189672470093,0.0585632642835405,6.70362934793696,114.4681641289767,median-masked,2022
11-01-019-00072-004833,0.0,1.3409380912780762,0.2875483002857359,40.48138969817892,140.78118235424336,median-masked,2022
11-01-019-00072-004834,0.0,0.9215056896209716,0.2790142355162215,36.41246267158213,130.50396014458966,median-masked,2022
11-01-019-00072-004835,0.0,0.9959898591041564,0.7288244647677536,6.391569577396647,8.769696801318787,median-masked,2022
11-01-019-00072-004836,0.0,1.0693036317825315,0.2971377323683449,12.623731995752737,42.48444616957568,median-masked,2022
11-01-019-00072-004837,0.0,2.226820707321167,0.7565781734175091,18.61323657991626,24.60186829847225,median-masked,2022
11-01-019-00072-004838,0.0,1.3113259077072144,0.8137951017132423,5.518886407146392,6.78166579711251,median-masked,2022
11-01-019-00072-004839,0.0,1.635505437850952,0.9840820325181084,9.280099322789203,9.430209084341186,median-masked,2022
11-01-019-00072-004840,0.0,2.6020619869232178,0.7155552388515385,33.66349111234089,47.0452723766939,median-masked,2022
11-01-019-00072-004841,0.0,7.021618843078613,1.2164394162833512,44.44154540748441,36.53412147994095,median-masked,2022
11-01-019-00072-004842,0.0,7.9021735191345215,2.273577160131908,25.38180624597065,11.16382003261242,median-masked,2022
11-01-019-00072-004843,0.7181497812271118,2.061963081359864,1.2857279427659674,28.968419297244225,22.53075346167316,median-masked,2022
11-01-019-00072-004844,0.0,1.77842378616333,0.5209993399880392,4.271290810173181,8.198265299666673,median-masked,2022
11-01-019-00072-004845,0.0,2.375136137008667,0.6981192526762814,14.257143640966326,20.422218104300555,median-masked,2022
11-01-019-00072-004846,0.0,7.9021735191345215,0.2259756254414442,22.11248209851852,97.85339483106507,median-masked,2022
11-01-019-00072-004847,0.0,0.9635536074638368,0.6122919195156431,25.6226063242544,41.84704306488857,median-masked,2022
11-01-019-00072-004848,0.0,2.33235502243042,0.7360977168663639,23.966269753722525,32.55854379734956,median-masked,2022
11-01-019-00072-004849,0.0,0.9126003980636596,0.4227488323500407,23.11252463151594,54.672001110055135,median-masked,2022
11-01-019-00072-004850,0.0,0.9035428166389464,0.3138518581854928,4.487576239964396,14.298389902513009,median-masked,2022
11-01-019-00072-004851,0.0,0.91574889421463,0.2231091021906854,9.56364826227951,42.8653433157815,median-masked,2022
11-01-019-00072-004852,0.0,1.1358917951583862,0.5163030206659791,17.127467343729975,33.17328517977148,median-masked,2022
11-01-019-00072-004853,0.0,0.0,0.0,0.0,12.618788888259589,median-masked,2022
11-01-019-00072-004854,0.0,3.6137194633483887,0.7092367565511766,100.9047546981781,142.27231423939477,median-masked,2022
11-01-019-00072-004855,0.0,3.068202018737793,1.8442441490059969,35.846486917799595,19.43695303960704,median-masked,2022
11-01-019-00072-004856,1.442814588546753,3.6137194633483887,2.3346431604780924,12.13108515657262,5.196119630585599,median-masked,2022
11-01-019-00072-004857,0.0,1.989712476730347,1.4609325372082704,17.276734021647254,11.825826026615688,median-masked,2022
11-01-019-00072-004858,1.1861342191696167,1.7553157806396484,1.53902731475932,21.38209291790175,13.893251089728436,median-masked,2022
11-01-019-00072-004859,0.0,1.8162792921066284,1.300938631008384,48.05967374214494,36.94230657513253,median-masked,2022
11-01-019-00072-004860,0.0,2.3310372829437256,1.0820640560103518,56.63352788311805,52.33842448471114,median-masked,2022
11-01-019-00072-004861,0.0,1.4061416387557983,1.0017856544865924,24.05728085849796,24.01439943839796,median-masked,2022
11-01-019-00072-004862,0.0,1.2707936763763428,0.5254694275791142,9.56806151455075,18.20859789813403,median-masked,2022
11-01-019-00072-004863,0.0,1.591388463973999,0.7640957979069374,11.34371116617828,14.845927954651415,median-masked,2022
11-01-019-00072-004864,0.8915509581565857,2.33235502243042,1.6318409825378513,23.62324516233853,14.476438216179304,median-masked,2022
11-01-019-00072-004865,1.1991207599639893,3.1222052574157715,1.8799009983917023,38.40572729182997,20.42965418109088,median-masked,2022
11-01-019-00072-004866,0.0,10.079023361206056,1.5864768353722607,135.96493845484866,85.70244167665078,median-masked,2022
11-01-019-00072-004867,0.0,5.064034461975098,1.412041279888086,86.75947284188554,61.44258958828868,median-masked,2022
11-01-019-00072-004868,0.0,1.158727526664734,0.5022225206249906,8.192256974150277,16.312006406951696,median-masked,2022
